,Better Diets and Nutrition.pdf,Breeding For Tomorrow.pdf,Capacity Sharing.pdf,Climate Action.pdf,Digital Transformation.pdf,Food Frontiers and Security.pdf,Gender Equality and Inclusion.pdf,Genebanks.pdf,Multifunctional Landscapes.pdf,Policy Innovations.pdf,Scaling for Impact.pdf,Sustainable Animal and Aquatic Foods.pdf,Sustainable Farming.pdf
Climate-smart initiatives for climate change adaptation and sustainability in prioritized agricultural production systems in Colombia (CSICAP),0.51505077,0.46979287,0.5156386,0.5390058,0.37336916,0.5706691,0.3801491,0.45151785,0.49769554,0.54731584,0.5094094,0.5192366,0.60864145
"PREPARATION PHASE - ""Supporting Colombia’s Just Energy Transition, climate resilience, and food security through the introduction of inclusive agri-photovoltaic systems""",0.37005296,0.42031673,0.46777588,0.47521067,0.26235682,0.46780872,0.35411093,0.38229176,0.46794537,0.44010237,0.4611167,0.39657918,0.4864479
CANADA-GAC-Building Equitable Climate-Resilient African Bean and Insect Vectors (BRAINS),0.46397823,0.5622636,0.5640742,0.72368944,0.5090758,0.62394464,0.56825364,0.4700441,0.6577856,0.56838024,0.5551819,0.57349706,0.6971415
"BIUSA (BEF)-Screening, developing, and deploying anti-methanogenic feedstock into livestock systems in the Global South",0.28478962,0.33388376,0.26589885,0.27671587,0.14200011,0.3221536,0.17307651,0.3878436,0.23792553,0.23074165,0.25040486,0.31339294,0.3268226
BMGF - Anti-methanogenic feedstock for livestock systems in global south,0.36346918,0.43981776,0.44285786,0.37589762,0.27906016,0.44992423,0.300242,0.48951796,0.34060505,0.3722853,0.39659384,0.43092674,0.42192218
WB-IDA-Additional Financing to the Accelerating Impacts of CGIAR Climate Research for Africa (AICCRA),0.3773327,0.45222983,0.5801552,0.5415144,0.42545274,0.5203996,0.40853435,0.43550423,0.46942773,0.5504722,0.4697905,0.4155036,0.5693123
USA-USAID-Amazon Biodiversity Fund Brazil Fundo de Investimento em Participações Multiestratégia,0.37714002,0.3707266,0.45324203,0.4592429,0.40567163,0.45398363,0.31325758,0.46164978,0.48747814,0.4779406,0.49624836,0.4984029,0.44522583
CANADA -GAC - Beans For Women For Empowerment  In Eastern DRC (BEANS4WOMEN),0.529002,0.48034266,0.4737431,0.48544556,0.29814,0.56087273,0.50983304,0.39209262,0.5363712,0.40499973,0.42195573,0.5252048,0.5384396
BIUSA (Bezos Earth Fund)-Using genetic diversity to capture carbon through deep root systems in tropical soils  (Research and Capacity development),0.21191329,0.42890388,0.33417016,0.30328265,0.16412662,0.27245253,0.19099806,0.49501154,0.358637,0.25672427,0.25475693,0.20719181,0.4376025
USA-BMGF-Artemis II - Field Phenotyping Prototype,0.21921173,0.53118825,0.31613675,0.16043931,0.31436813,0.22875595,0.1521215,0.41511717,0.24855976,0.16776782,0.19278057,0.29436556,0.40019855
GCDT-Long-term conservation and sustainable use of plant genetic resources,0.4100824,0.5714826,0.5094463,0.46339816,0.28360087,0.5136212,0.30428085,0.6726552,0.52553475,0.4788858,0.4398587,0.44727904,0.563476
USAID (USA) - SERVIR Amazonia Phase II,0.312165,0.34924632,0.4133498,0.38502607,0.30027738,0.3440992,0.24114864,0.4165941,0.44436547,0.39848372,0.3662258,0.3924435,0.42955744
FASA,-0.07267181,-0.00021883279,-0.05534258,-0.012429463,0.02996583,0.0096171275,0.016003033,0.01188046,0.04035314,-0.054311093,-0.033983015,0.023909021,0.01360688
BMGF-Enabling Market Intelligence and building engagement new grant,0.37190437,0.4340582,0.31328586,0.35417628,0.37202957,0.32991603,0.20697398,0.36156452,0.35702604,0.34931567,0.33680716,0.34760886,0.39336783
BMGF-Accelerated Variety Turnover for Open-pollinated Crops,0.53337806,0.7196325,0.50814694,0.5043272,0.27719033,0.60029995,0.36102304,0.56672955,0.53060067,0.4910207,0.45249462,0.49287236,0.65163237
BMGF-FarmGS-Beans,0.37638432,0.62051266,0.4420197,0.32277745,0.22690639,0.39712754,0.29818293,0.5719057,0.41645333,0.27753934,0.32817158,0.3555983,0.48396274
BMGF-DH Cassava using AI ultra-high throughput single cell technologies,0.25850767,0.5458302,0.3334611,0.21070804,0.17805515,0.2657156,0.15782139,0.45868406,0.27211514,0.23197946,0.24849081,0.235466,0.35751936
ACIAR - Disease-resilient and sustainable cassava production systems in the Mekong region,0.340381,0.456364,0.37735388,0.29980603,0.18716681,0.42691714,0.18803656,0.4245108,0.3997671,0.36887512,0.35473695,0.37891886,0.5303199
GAC-SCALING UP CLIMATE INFORMATION SERVICES AND CLIMATE- SMART AGRICULTURE FOR WOMEN FARMERS IN NICARAGUA’S  DRY CORRIDOR,0.3313155,0.31226802,0.29964688,0.5112445,0.20262352,0.4669455,0.29653257,0.37812236,0.45937666,0.4320532,0.29553437,0.36594665,0.49736416
SGP-Adaptation insights-Accelerating CGIAR empowered Climate Adaptation,0.52958983,0.4692245,0.6389886,0.5865353,0.49784684,0.606111,0.5189924,0.5235233,0.52285826,0.56596494,0.57927793,0.53450006,0.66468465
USAID - DIGITAL FERTILITY MAPPING TO IMPROVE AGRICULTURAL SOIL MANAGEMENT AND EFFICIENCY OF FERTILIZATION IN HONDURAS,0.41254893,0.49153295,0.4857315,0.45152038,0.35111883,0.5267839,0.30319354,0.483354,0.4627687,0.43771553,0.3502419,0.4083917,0.59819174
CIMMYT (FFAR) - Fast Tracking Climate Solutions from CGIAR Germplasm Banks,0.36554697,0.6110135,0.46168217,0.43241692,0.2812344,0.43103677,0.33918747,0.61625755,0.49842182,0.34022436,0.32360023,0.36309427,0.61633474
CANADA-MEDA-The Adaptation and Valorization of Entrepreneurship in Irrigated Agriculture _ AVENIR,0.37397808,0.43045548,0.47608215,0.48999885,0.3056863,0.50377244,0.3900342,0.3531947,0.5206423,0.4736079,0.41290605,0.48209003,0.5958965
Transforming Supply Chains for a Deforestation-Free Future: Integrating MRV Protocol in Colombia's Agri- Food Sectors,0.34667942,0.3796615,0.3756168,0.3818611,0.36415374,0.41449764,0.270765,0.4611878,0.38816503,0.43555096,0.40696472,0.36502415,0.46086314
"BI (IFAD) - Private sector incentives and investments for climate change, resilience and environmental sustainability (Psii)",0.56507164,0.53381974,0.47447,0.40473357,0.32178238,0.5405978,0.36966896,0.51638424,0.5635157,0.5491666,0.5465603,0.49442953,0.5727415
BMGF-Adaptation Atlas: Refinement and Transition,0.5027789,0.52906525,0.56317914,0.6601988,0.4425121,0.5838482,0.47117624,0.5066902,0.6143361,0.6214781,0.55991757,0.4724446,0.6395442
CIMMYT (BMGF)-Mining useful alleles for climate change adaptation from CGIAR gene banks,0.3234757,0.56753904,0.3252407,0.388535,0.1956605,0.37082395,0.29227936,0.6116017,0.4306067,0.27445534,0.2476153,0.30397546,0.46419168
JAPAN-MAFF-Development of Decarbonization Technologies for Livestock Systems in Adverse Environmental Conditions,0.33829054,0.43433893,0.34915894,0.3547935,0.18594627,0.38623086,0.20403081,0.37422886,0.4350699,0.3512048,0.31554306,0.43012846,0.4967045
Solidaridad - Climate Heroes Project Asómbrate,0.44941148,0.4481164,0.4958825,0.5699099,0.32487804,0.5369675,0.37570047,0.38813213,0.4932478,0.504314,0.4205671,0.44986495,0.5655891
WFP LTA - Supporting WFP Climate Action in Mozambique,0.45758083,0.3631399,0.4017174,0.61055887,0.30430633,0.6219145,0.5086456,0.37555265,0.5755102,0.49457264,0.41737887,0.5167678,0.54541963
